Listing_ID,Title,Condition,Price,Seller_Rating,Seller_Location,Listed_Date,Watchers
EBY-000001,Genuine Nimbus Edge 7 Open Box Tested Working,Open Box,255.27,86.8,DE,2025-07-08,0
EBY-000002,** Orbital Studio 16 ** Used - Good SALE,Used - Good,733.87,96.6,SG,2025-07-16,5
EBY-000003,**  Orbital  Buds  Sport  **  Open  Box  SALE,Open Box,32.35,86.6,CA,2026-01-13,8
EBY-000004,Vortexa EliteBook X Used - Good L@@K!!,Used - Good,689.21,86.2,US,2025-09-24,48
EBY-000005,Emberline Nova 5 New L@@K!!,New,412.22,92.4,SG,2026-05-07,8
EBY-000006,Nimbus Flip 3 (Used - Good) Free Ship,Used - Good,139.88,99.5,SG,2025-05-18,37
EBY-000007,Vortexa Watch S1 - Used - Fair - Fast Shipping,Used - Fair,71.15,92.6,US,2025-04-06,30
EBY-000008,Zenith Nova 5 Used - Fair L@@K!!,Used - Fair,137.79,93.1,IN,2026-04-29,37
EBY-000009,VORTEXA TAB 10 - NEW - FAST SHIPPING,New,415.91,96.4,SG,2025-11-14,53
EBY-000010,** NIMBUS BUDS AIR PRO ** USED - FAIR SALE,Used - Fair,70.35,85.4,DE,2025-11-16,37
EBY-000011,Emberline Slate 8 For Parts/Not Working L@@K!!,For Parts/Not Working,56.6,85.1,IN,2025-09-18,9
EBY-000012,** Solace Buds Air Pro ** Used - Excellent SALE,Used - Excellent,79.95,96.1,AU,2026-03-11,41
EBY-000013,**  EMBERLINE  ELITEBOOK  X  **  NEW  SALE,New,894.65,87.7,CA,2025-07-07,2
EBY-000014,Vortexa Studio 16 (Used - Excellent) Free Ship,Used - Excellent,927.06,93.5,US,2025-08-12,15
EBY-000015,Solace Nova 5 Lite Used - Excellent w/ Charger Bundle,Used - Excellent,191.68,89.7,DE,2025-03-25,13
EBY-000016,Vortexa Buds Air Open Box w/ Charger Bundle,Open Box,99.85,85.3,IN,2025-01-20,21
EBY-000017,** Emberline Edge 7 ** Used - Excellent SALE,Used - Excellent,312.99,,UK,2025-09-02,9
EBY-000018,VORTEXA TRAVELLITE 12 USED - EXCELLENT L@@K!!,Used - Excellent,617.9,86.7,CA,2025-09-17,48
EBY-000019,Solace Nova 5 Lite (Open Box) Free Ship,Open Box,222.01,93.5,US,2025-09-01,14
