SKU,Component,Component_Code,Supplier,Component_Cost
EAR-ZEN-0001,Battery,BAT,Pegatron,7.01
EAR-ZEN-0001,Speaker Driver,SPD,Luxshare ICT,8.65
EAR-ZEN-0001,Charging Case,CSE,Pegatron,11.71
EAR-ZEN-0001,Bluetooth Chip,BTC,Pegatron,3.98
LAP-ORB-0001,Motherboard,MB,Pegatron,180.46
LAP-ORB-0001,Display Panel,DSP,Foxlink Corp,158.54
LAP-ORB-0001,Battery,BAT,Pegatron,61.32
LAP-ORB-0001,SSD Storage,SSD,Luxshare ICT,100.81
LAP-ORB-0001,RAM Module,RAM,Luxshare ICT,66.22
LAP-ORB-0001,Keyboard Assembly,KB,Foxlink Corp,29.29
LAP-ORB-0001,Cooling Fan,FAN,Delta Electronics,5.47
LAP-ORB-0001,Webcam Module,CAM,Foxlink Corp,8.73
LAP-NIM-0002,Motherboard,MB,Quanta Computer,120.26
LAP-NIM-0002,Display Panel,DSP,Luxshare ICT,122.61
LAP-NIM-0002,Battery,BAT,Pegatron,20.94
LAP-NIM-0002,SSD Storage,SSD,Quanta Computer,89.66
LAP-NIM-0002,RAM Module,RAM,Quanta Computer,34.78
LAP-NIM-0002,Keyboard Assembly,KB,Luxshare ICT,33.93
LAP-NIM-0002,Cooling Fan,FAN,Pegatron,18.99
LAP-NIM-0002,Webcam Module,CAM,Pegatron,3.83
TAB-EMB-0001,Logic Board,LB,Luxshare ICT,58.59
TAB-EMB-0001,Touch Display,TDS,Foxlink Corp,75.28
TAB-EMB-0001,Battery,BAT,Delta Electronics,35.69
TAB-EMB-0001,Speaker Unit,SPK,Delta Electronics,7.83
TAB-EMB-0001,Charging Port,CHG,Luxshare ICT,5.08
WCH-NIM-0001,Logic Board,LB,Quanta Computer,68.79
WCH-NIM-0001,Display,DSP,Foxlink Corp,44.59
WCH-NIM-0001,Battery,BAT,Luxshare ICT,11.23
WCH-NIM-0001,Sensor Module,SEN,Foxlink Corp,10.75
WCH-NIM-0001,Strap/Band,STR,Luxshare ICT,10.02
PHN-ZEN-0001,Logic Board,LB,Pegatron,105.69
PHN-ZEN-0001,OLED Display,OLD,Wistron,56.22
PHN-ZEN-0001,Battery,BAT,Luxshare ICT,26.29
PHN-ZEN-0001,Camera Module,CAM,Pegatron,28.7
PHN-ZEN-0001,Charging Port,CHG,Quanta Computer,4.2
PHN-ZEN-0001,Speaker Unit,SPK,Wistron,2.49
PHN-ZEN-0002,Logic Board,LB,Foxlink Corp,245.05
PHN-ZEN-0002,OLED Display,OLD,Luxshare ICT,116.14
PHN-ZEN-0002,Battery,BAT,Luxshare ICT,22.24
PHN-ZEN-0002,Camera Module,CAM,Quanta Computer,38.24
PHN-ZEN-0002,Charging Port,CHG,Foxlink Corp,7.19
PHN-ZEN-0002,Speaker Unit,SPK,Pegatron,9.95
EAR-NIM-0002,Battery,BAT,Foxlink Corp,3.2
EAR-NIM-0002,Speaker Driver,SPD,Foxlink Corp,11.43
EAR-NIM-0002,Charging Case,CSE,Foxlink Corp,7.19
EAR-NIM-0002,Bluetooth Chip,BTC,Quanta Computer,8.74
EAR-SOL-0003,Battery,BAT,Quanta Computer,7.96
EAR-SOL-0003,Speaker Driver,SPD,Delta Electronics,4.89
EAR-SOL-0003,Charging Case,CSE,Foxlink Corp,4.82
EAR-SOL-0003,Bluetooth Chip,BTC,Pegatron,3.99
LAP-EMB-0003,Motherboard,MB,Wistron,101.89
LAP-EMB-0003,Display Panel,DSP,Luxshare ICT,67.24
LAP-EMB-0003,Battery,BAT,Foxlink Corp,45.44
LAP-EMB-0003,SSD Storage,SSD,Delta Electronics,91.82
LAP-EMB-0003,RAM Module,RAM,Quanta Computer,52.34
LAP-EMB-0003,Keyboard Assembly,KB,Delta Electronics,21.82
