"sku","brand","product_name","category","launch_year","msrp","component","component_code","supplier","component_cost","claim_id","failed_component","claim_date","days_in_service","repair_cost","resolution","failure_symptom","master_id"
"WCH-ORB-0003","Orbital","Orbital Watch S1","Smartwatch",2022,226.50,"Strap/Band","STR","Delta Electronics",6.52,"WC-00001","Logic Board","2025-05-22",296,133.90,"Refunded","Cracked/damaged",1
"WCH-ORB-0003","Orbital","Orbital Watch S1","Smartwatch",2022,226.50,"Sensor Module","SEN","Delta Electronics",15.09,"WC-00001","Logic Board","2025-05-22",296,133.90,"Refunded","Cracked/damaged",2
"WCH-ORB-0003","Orbital","Orbital Watch S1","Smartwatch",2022,226.50,"Battery","BAT","Luxshare ICT",17.05,"WC-00001","Logic Board","2025-05-22",296,133.90,"Refunded","Cracked/damaged",3
"WCH-ORB-0003","Orbital","Orbital Watch S1","Smartwatch",2022,226.50,"Display","DSP","Pegatron",18.12,"WC-00001","Logic Board","2025-05-22",296,133.90,"Refunded","Cracked/damaged",4
"WCH-ORB-0003","Orbital","Orbital Watch S1","Smartwatch",2022,226.50,"Logic Board","LB","Quanta Computer",60.32,"WC-00001","Logic Board","2025-05-22",296,133.90,"Refunded","Cracked/damaged",5
"TAB-ZEN-0005","Zenith","Zenith Canvas 11","Tablet",2021,363.45,"Charging Port","CHG","Quanta Computer",9.75,"WC-00002","Logic Board","2025-10-16",975,148.51,"Pending","Not charging",6
"TAB-ZEN-0005","Zenith","Zenith Canvas 11","Tablet",2021,363.45,"Speaker Unit","SPK","Foxlink Corp",3.62,"WC-00002","Logic Board","2025-10-16",975,148.51,"Pending","Not charging",7
"TAB-ZEN-0005","Zenith","Zenith Canvas 11","Tablet",2021,363.45,"Battery","BAT","Pegatron",22.31,"WC-00002","Logic Board","2025-10-16",975,148.51,"Pending","Not charging",8
"TAB-ZEN-0005","Zenith","Zenith Canvas 11","Tablet",2021,363.45,"Touch Display","TDS","Delta Electronics",42.74,"WC-00002","Logic Board","2025-10-16",975,148.51,"Pending","Not charging",9
"TAB-ZEN-0005","Zenith","Zenith Canvas 11","Tablet",2021,363.45,"Logic Board","LB","Pegatron",72.71,"WC-00002","Logic Board","2025-10-16",975,148.51,"Pending","Not charging",10
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Strap/Band","STR","Quanta Computer",12.29,"WC-00003","Sensor Module","2024-01-18",394,49.16,"Replaced","Not charging",11
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Sensor Module","SEN","Foxlink Corp",16.73,"WC-00003","Sensor Module","2024-01-18",394,49.16,"Replaced","Not charging",12
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Battery","BAT","Wistron",14.21,"WC-00003","Sensor Module","2024-01-18",394,49.16,"Replaced","Not charging",13
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Display","DSP","Quanta Computer",38.72,"WC-00003","Sensor Module","2024-01-18",394,49.16,"Replaced","Not charging",14
"WCH-VOR-0017","Vortexa","Vortexa Watch S1","Smartwatch",2023,327.29,"Logic Board","LB","Foxlink Corp",35.47,"WC-00003","Sensor Module","2024-01-18",394,49.16,"Replaced","Not charging",15
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Webcam Module","CAM","Quanta Computer",3.27,"WC-00004","Battery","2024-12-06",309,69.68,"Pending","Won't power on",16
"LAP-EMB-0008","Emberline","Emberline Studio 16","Laptop",2022,1581.17,"Cooling Fan","FAN","Quanta Computer",16.06,"WC-00004","Battery","2024-12-06",309,69.68,"Pending","Won't power on",17
