SKU,Brand,Product_Name,Category,Launch_Year,MSRP
EAR-ZEN-0001,Zenith,Zenith Buds Air Pro,Wireless Earbuds,2024,279.2
LAP-ORB-0001,Orbital,Orbital TravelLite 12,Laptop,2025,1318.7
LAP-NIM-0002,Nimbus,Nimbus EliteBook X,Laptop,2024,819.08
TAB-EMB-0001,Emberline,Emberline Canvas 11,Tablet,2024,458.82
WCH-NIM-0001,Nimbus,Nimbus Watch S1,Smartwatch,2024,457.23
PHN-ZEN-0001,Zenith,Zenith Nova 5 Lite,Smartphone,2022,466.01
PHN-ZEN-0002,Zenith,Zenith X1 Pro,Smartphone,2021,1024.37
EAR-NIM-0002,Nimbus,Nimbus Buds Air Pro,Wireless Earbuds,2023,197.28
EAR-SOL-0003,Solace,Solace Buds Sport,Wireless Earbuds,2025,86.42
LAP-EMB-0003,Emberline,Emberline Air 13,Laptop,2022,1506.15
TAB-SOL-0002,Solace,Solace Tab 10,Tablet,2025,636.62
TAB-ORB-0003,Orbital,Orbital Canvas 11,Tablet,2024,804.84
PHN-VOR-0003,Vortexa,Vortexa Nova 5 Lite,Smartphone,2025,1157.97
PHN-ORB-0004,Orbital,Orbital Nova 5 Lite,Smartphone,2021,738.88
LAP-NIM-0004,Nimbus,Nimbus Pro 14,Laptop,2022,1240.71
PHN-EMB-0005,Emberline,Emberline X1 Pro,Smartphone,2022,529.64
TAB-ZEN-0004,Zenith,Zenith Tab 10 Pro,Tablet,2021,700.55
TAB-ZEN-0005,Zenith,Zenith Canvas 11,Tablet,2021,363.45
LAP-ORB-0005,Orbital,Orbital Force 15 Gaming,Laptop,2021,1581.98
PHN-SOL-0006,Solace,Solace X1 Pro,Smartphone,2022,975.48
PHN-VOR-0007,Vortexa,Vortexa Nova 5,Smartphone,2025,1351.01
PHN-NIM-0008,Nimbus,Nimbus Flip 3,Smartphone,2024,435.13
LAP-NIM-0006,Nimbus,Nimbus Air 13,Laptop,2024,1345.58
PHN-EMB-0009,Emberline,Emberline Nova 5,Smartphone,2023,458.53
LAP-SOL-0007,Solace,Solace TravelLite 12,Laptop,2022,1365.8
TAB-EMB-0006,Emberline,Emberline Tab 10,Tablet,2025,403.91
PHN-SOL-0010,Solace,Solace X1,Smartphone,2021,1059.07
TAB-NIM-0007,Nimbus,Nimbus Canvas 11,Tablet,2021,473.57
WCH-SOL-0002,Solace,Solace Watch S1 Sport,Smartwatch,2023,267.5
TAB-VOR-0008,Vortexa,Vortexa Tab 10 Pro,Tablet,2022,516.77
PHN-ORB-0011,Orbital,Orbital X1,Smartphone,2023,1156.96
LAP-EMB-0008,Emberline,Emberline Studio 16,Laptop,2022,1581.17
